run_id,model,dataset,rmse,run_path,checkpoint
chronos2-aleppo_2017-best,chronos2,aleppo_2017,0.24720767684890238,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/chronos2/aleppo_2017/run_best,/checkpoints/chronos2/aleppo_2017/step_100000
chronos2-brown_2019-best,chronos2,brown_2019,0.2506944884451752,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/chronos2/brown_2019/run_best,/checkpoints/chronos2/brown_2019/step_100000
chronos2-lynch_2022-best,chronos2,lynch_2022,0.24199867457694926,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/chronos2/lynch_2022/run_best,/checkpoints/chronos2/lynch_2022/step_100000
chronos2-tamborlane_2008-best,chronos2,tamborlane_2008,0.24239348624309723,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/chronos2/tamborlane_2008/run_best,/checkpoints/chronos2/tamborlane_2008/step_100000
moirai-aleppo_2017-best,moirai,aleppo_2017,0.3240241403667849,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/moirai/aleppo_2017/run_best,/checkpoints/moirai/aleppo_2017/step_100000
moirai-brown_2019-best,moirai,brown_2019,0.32876708449190156,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/moirai/brown_2019/run_best,/checkpoints/moirai/brown_2019/step_100000
moirai-lynch_2022-best,moirai,lynch_2022,0.3220542136985891,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/moirai/lynch_2022/run_best,/checkpoints/moirai/lynch_2022/step_100000
moirai-tamborlane_2008-best,moirai,tamborlane_2008,0.3173362291801871,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/moirai/tamborlane_2008/run_best,/checkpoints/moirai/tamborlane_2008/step_100000
tide-aleppo_2017-best,tide,aleppo_2017,0.32152722835103464,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/tide/aleppo_2017/run_best,/checkpoints/tide/aleppo_2017/step_100000
tide-brown_2019-best,tide,brown_2019,0.3273440102887225,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/tide/brown_2019/run_best,/checkpoints/tide/brown_2019/step_100000
tide-lynch_2022-best,tide,lynch_2022,0.32930607601144535,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/tide/lynch_2022/run_best,/checkpoints/tide/lynch_2022/step_100000
tide-tamborlane_2008-best,tide,tamborlane_2008,0.32347533414520635,/data/home/cjrisi/nocturnal-hypo-gly-prob-forecast/docs/assets/visualizations/example_data/prob_runs/tide/tamborlane_2008/run_best,/checkpoints/tide/tamborlane_2008/step_100000
